state,x,y
Jammu & Kashmir,-164.0,270.0
Tamil Nadu,-85.0,-280.0
Kerala,-130.0,-294.0
Karnataka,-146.0,-187.0
Andhra Pradesh,-74.0,-174.0
Telangana,-77.0,-115.0
Maharashtra,-147.0,-74.0
Chhattisgarh,-13.0,-34.0
Odisha,48.0,-45.0
Gujarat,-233.0,10.0
Madhya Pradesh,-89.0,16.0
Jharkhand,58.0,27.0
West Bengal,115.0,16.0
Rajasthan,-185.0,102.0
Uttar Pradesh,-37.0,106.0
Bihar,78.0,76.0
Sikkim,126.0,123.0
Arunachal Pradesh,259.0,152.0
Nagaland,260.0,100.0
Manipur,248.0,60.0
Mizoram,225.0,24.0
Tripura,200.0,35.0
Meghalaya,203.0,80.0
Assam,221.0,100.0
Uttarakhand,-71.0,185.0
Himachal Pradesh,-112.0,224.0
Punjab,-151.0,196.0
Haryana,-133.0,153.0


